19.2357 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
30.7605 	EXP 	window1: mouseVisible = True
30.7650 	EXP 	window1: mouseVisible = True
30.8239 	EXP 	Created slider_2 = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=0, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=0.03, labelWrapWidth=None, labels=('not at all', '', '', '', 'totally'), lineColor=None, markerColor=None, name='slider_2', opacity=None, ori=0.0, pos=array([0. , 0.1]), readOnly=False, self=UNKNOWN, size=array([0.6, 0.1]), startValue=None, style='rating', styleTweaks=[], ticks=array([1, 2, 3, 4, 5]), units='height', win=Window(...))
30.8241 	EXP 	window1: mouseVisible = True
30.8269 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.07, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0. , 0.3]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
30.8271 	EXP 	window1: mouseVisible = True
30.8418 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_3', opacity=1.0, ori=0.0, pos=array([ 0. , -0.2]), rgb=UNKNOWN, text="press 'space' to continue", units='height', win=Window(...), wrapWidth=1)
0.0175 	EXP 	slider_2: autoLog = True
0.0175 	EXP 	slider_2: styleTweaks = []
0.0175 	EXP 	slider_2: styleTweaks = []
0.0175 	EXP 	slider_2: styleTweaks = []
0.0175 	EXP 	slider_2: styleTweaks = []
0.0175 	EXP 	slider_2: contrast = 1.0
0.0175 	EXP 	slider_2: markerPos = None
0.0175 	EXP 	slider_2: autoLog = True
0.0378 	EXP 	text: autoDraw = True
2.6014 	EXP 	Imported facesBlock.xlsx as conditions, 3 conditions, 2 params
2.6099 	EXP 	Created sequence: random, trialTypes=3, nReps=1, seed=None
2.6110 	EXP 	New trial (rep=0, index=0): {'stimFile': 'stims/sad.mp4', 'feeling': 'sadness'}
2.6287 	EXP 	window1: mouseVisible = True
3.4745 	EXP 	text: autoDraw = False
3.4745 	EXP 	movie: autoLog = True
3.4745 	EXP 	movie: autoDraw = True
7.9562 	EXP 	movie: autoDraw = False
7.9562 	EXP 	slider_2: markerPos = None
7.9562 	EXP 	slider_2: markerPos = None
7.9562 	EXP 	text_2: height = 0.07
7.9562 	EXP 	text_2: height = 0.07
7.9562 	EXP 	text_2: height = 0.07
7.9562 	EXP 	text_2: text = 'What level of sadness did you feel with the last video?'
7.9562 	EXP 	slider_2: autoDraw = True
7.9562 	EXP 	text_2: autoDraw = True
7.9562 	EXP 	text_3: autoDraw = True
11.7470 	DATA 	Mouse: Left button down, pos=(961,652)
11.7548 	DATA 	Mouse:  Left button up, pos=(961,652)
12.5134 	DATA 	Mouse: Left button down, pos=(961,652)
12.5535 	EXP 	slider_2: markerPos = 3.006172839506173
12.5694 	DATA 	Mouse:  Left button up, pos=(961,652)
12.5724 	EXP 	slider_2: markerPos = 3.006172839506173
12.5903 	EXP 	slider_2: markerPos = 3.006172839506173
13.4503 	DATA 	Keypress: space
13.4594 	EXP 	New trial (rep=0, index=1): {'stimFile': 'stims/happy.mp4', 'feeling': 'happiness'}
13.4602 	EXP 	window1: mouseVisible = True
13.5561 	EXP 	slider_2: autoDraw = False
13.5561 	EXP 	text_2: autoDraw = False
13.5561 	EXP 	text_3: autoDraw = False
13.5561 	EXP 	movie: autoLog = True
13.5955 	EXP 	movie: autoDraw = True
18.7148 	EXP 	movie: autoDraw = False
18.7148 	EXP 	slider_2: markerPos = None
18.7148 	EXP 	slider_2: markerPos = None
18.7148 	EXP 	text_2: height = 0.07
18.7148 	EXP 	text_2: height = 0.07
18.7148 	EXP 	text_2: height = 0.07
18.7148 	EXP 	text_2: text = 'What level of happiness did you feel with the last video?'
18.7148 	EXP 	slider_2: autoDraw = True
18.7148 	EXP 	text_2: autoDraw = True
18.7148 	EXP 	text_3: autoDraw = True
20.5376 	DATA 	Mouse: Left button down, pos=(1006,645)
20.5618 	EXP 	slider_2: markerPos = 3.2839506172839505
20.5811 	EXP 	slider_2: markerPos = 3.2839506172839505
20.5999 	EXP 	slider_2: markerPos = 3.2839506172839505
20.6194 	EXP 	slider_2: markerPos = 3.2839506172839505
20.6386 	EXP 	slider_2: markerPos = 3.2839506172839505
20.6581 	EXP 	slider_2: markerPos = 3.2839506172839505
20.6754 	DATA 	Mouse:  Left button up, pos=(1006,645)
20.6786 	EXP 	slider_2: markerPos = 3.2839506172839505
20.6980 	EXP 	slider_2: markerPos = 3.2839506172839505
21.7650 	DATA 	Keypress: space
21.7730 	EXP 	New trial (rep=0, index=2): {'stimFile': 'stims/neutral.mp4', 'feeling': 'neutrality'}
21.7739 	EXP 	window1: mouseVisible = True
21.8553 	EXP 	slider_2: autoDraw = False
21.8553 	EXP 	text_2: autoDraw = False
21.8553 	EXP 	text_3: autoDraw = False
21.8553 	EXP 	movie: autoLog = True
21.9004 	EXP 	movie: autoDraw = True
27.0274 	EXP 	movie: autoDraw = False
27.0274 	EXP 	slider_2: markerPos = None
27.0274 	EXP 	slider_2: markerPos = None
27.0274 	EXP 	text_2: height = 0.07
27.0274 	EXP 	text_2: height = 0.07
27.0274 	EXP 	text_2: height = 0.07
27.0274 	EXP 	text_2: text = 'What level of neutrality did you feel with the last video?'
27.0274 	EXP 	slider_2: autoDraw = True
27.0274 	EXP 	text_2: autoDraw = True
27.0274 	EXP 	text_3: autoDraw = True
29.6714 	DATA 	Mouse: Left button down, pos=(975,643)
29.6936 	EXP 	slider_2: markerPos = 3.0925925925925926
29.7130 	EXP 	slider_2: markerPos = 3.0925925925925926
29.7320 	EXP 	slider_2: markerPos = 3.0925925925925926
29.7524 	EXP 	slider_2: markerPos = 3.0925925925925926
29.7690 	DATA 	Mouse:  Left button up, pos=(975,643)
29.7724 	EXP 	slider_2: markerPos = 3.0925925925925926
29.7915 	EXP 	slider_2: markerPos = 3.0925925925925926
31.3045 	DATA 	Mouse: Left button down, pos=(1040,656)
31.3281 	EXP 	slider_2: markerPos = 3.537037037037037
31.3496 	EXP 	slider_2: markerPos = 3.493827160493827
31.3689 	EXP 	slider_2: markerPos = 3.493827160493827
31.3884 	EXP 	slider_2: markerPos = 3.493827160493827
31.4081 	EXP 	slider_2: markerPos = 3.493827160493827
31.4252 	DATA 	Mouse:  Left button up, pos=(1040,656)
31.4286 	EXP 	slider_2: markerPos = 3.493827160493827
31.4487 	EXP 	slider_2: markerPos = 3.493827160493827
32.2151 	DATA 	Keypress: space
32.2586 	EXP 	slider_2: autoDraw = False
32.2586 	EXP 	text_2: autoDraw = False
32.2586 	EXP 	text_3: autoDraw = False
32.2587 	EXP 	untitled: status = STOPPED
33.6349 	EXP 	window1: mouseVisible = True
