29.4806 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
47.6390 	EXP 	window1: mouseVisible = True
47.6397 	EXP 	window1: mouseVisible = True
47.6707 	EXP 	window1: mouseVisible = True
47.6780 	EXP 	window1: mouseVisible = True
47.7591 	EXP 	Created slider_2 = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=0, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=0.03, labelWrapWidth=None, labels=('not at all', '', '', '', 'totally'), lineColor=None, markerColor=None, name='slider_2', opacity=None, ori=0.0, pos=array([0. , 0.1]), readOnly=False, self=UNKNOWN, size=array([0.6, 0.1]), startValue=None, style='rating', styleTweaks=[], ticks=array([1, 2, 3, 4, 5]), units='height', win=Window(...))
47.7593 	EXP 	window1: mouseVisible = True
47.7620 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.07, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0. , 0.3]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
47.7622 	EXP 	window1: mouseVisible = True
47.7730 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_3', opacity=1.0, ori=0.0, pos=array([ 0. , -0.2]), rgb=UNKNOWN, text="press 'space' to continue", units='height', win=Window(...), wrapWidth=1)
1.3035 	EXP 	slider_2: autoLog = True
1.3035 	EXP 	slider_2: styleTweaks = []
1.3035 	EXP 	slider_2: styleTweaks = []
1.3035 	EXP 	slider_2: styleTweaks = []
1.3035 	EXP 	slider_2: styleTweaks = []
1.3035 	EXP 	slider_2: contrast = 1.0
1.3035 	EXP 	slider_2: markerPos = None
1.3035 	EXP 	slider_2: autoLog = True
2.6424 	EXP 	text: autoDraw = True
5.9487 	EXP 	Imported facesBlock.xlsx as conditions, 3 conditions, 2 params
5.9619 	EXP 	Created sequence: random, trialTypes=3, nReps=1, seed=None
5.9631 	EXP 	New trial (rep=0, index=0): {'stimFile': 'stims/neutral.mp4', 'feeling': 'neutrality'}
5.9849 	EXP 	window1: mouseVisible = True
6.7827 	EXP 	text: autoDraw = False
6.7827 	EXP 	movie: autoLog = True
6.7827 	EXP 	movie: autoDraw = True
11.3695 	EXP 	movie: autoDraw = False
11.3695 	EXP 	slider_2: markerPos = None
11.3695 	EXP 	slider_2: markerPos = None
11.3695 	EXP 	text_2: height = 0.07
11.3695 	EXP 	text_2: height = 0.07
11.3695 	EXP 	text_2: height = 0.07
11.3695 	EXP 	text_2: text = 'What level of neutrality did you feel with the last video?'
11.3695 	EXP 	slider_2: autoDraw = True
11.3695 	EXP 	text_2: autoDraw = True
11.3695 	EXP 	text_3: autoDraw = True
18.6402 	DATA 	Mouse: Left button down, pos=(968,646)
18.6888 	EXP 	slider_2: markerPos = 3.049382716049383
18.7191 	EXP 	slider_2: markerPos = 3.049382716049383
18.7456 	DATA 	Mouse:  Left button up, pos=(968,646)
18.7489 	EXP 	slider_2: markerPos = 3.049382716049383
18.7799 	EXP 	slider_2: markerPos = 3.049382716049383
18.9644 	EXP 	New trial (rep=0, index=1): {'stimFile': 'stims/sad.mp4', 'feeling': 'sadness'}
18.9652 	EXP 	window1: mouseVisible = True
19.0544 	DATA 	Keypress: space
19.0584 	EXP 	slider_2: autoDraw = False
19.0584 	EXP 	text_2: autoDraw = False
19.0584 	EXP 	text_3: autoDraw = False
19.0584 	EXP 	movie: autoLog = True
19.1044 	EXP 	movie: autoDraw = True
24.2458 	EXP 	movie: autoDraw = False
24.2458 	EXP 	slider_2: markerPos = None
24.2458 	EXP 	slider_2: markerPos = None
24.2458 	EXP 	text_2: height = 0.07
24.2458 	EXP 	text_2: height = 0.07
24.2458 	EXP 	text_2: height = 0.07
24.2458 	EXP 	text_2: text = 'What level of sadness did you feel with the last video?'
24.2458 	EXP 	slider_2: autoDraw = True
24.2458 	EXP 	text_2: autoDraw = True
24.2458 	EXP 	text_3: autoDraw = True
64.9368 	DATA 	Mouse: Left button down, pos=(968,646)
64.9546 	EXP 	slider_2: markerPos = 3.049382716049383
64.9741 	EXP 	slider_2: markerPos = 3.049382716049383
64.9946 	EXP 	slider_2: markerPos = 3.049382716049383
65.0192 	EXP 	slider_2: markerPos = 3.049382716049383
65.0487 	EXP 	slider_2: markerPos = 3.049382716049383
65.0745 	DATA 	Mouse:  Left button up, pos=(968,646)
65.0783 	EXP 	slider_2: markerPos = 3.049382716049383
65.1051 	EXP 	slider_2: markerPos = 3.049382716049383
65.7274 	DATA 	Keypress: space
65.7339 	EXP 	New trial (rep=0, index=2): {'stimFile': 'stims/happy.mp4', 'feeling': 'happiness'}
65.7347 	EXP 	window1: mouseVisible = True
65.8383 	EXP 	slider_2: autoDraw = False
65.8383 	EXP 	text_2: autoDraw = False
65.8383 	EXP 	text_3: autoDraw = False
65.8383 	EXP 	movie: autoLog = True
65.8962 	EXP 	movie: autoDraw = True
71.1737 	EXP 	movie: autoDraw = False
71.1737 	EXP 	slider_2: markerPos = None
71.1737 	EXP 	slider_2: markerPos = None
71.1737 	EXP 	text_2: height = 0.07
71.1737 	EXP 	text_2: height = 0.07
71.1737 	EXP 	text_2: height = 0.07
71.1737 	EXP 	text_2: text = 'What level of happiness did you feel with the last video?'
71.1737 	EXP 	slider_2: autoDraw = True
71.1737 	EXP 	text_2: autoDraw = True
71.1737 	EXP 	text_3: autoDraw = True
72.2485 	DATA 	Mouse: Left button down, pos=(968,646)
72.2794 	EXP 	slider_2: markerPos = 3.049382716049383
72.3032 	EXP 	slider_2: markerPos = 3.049382716049383
72.3358 	DATA 	Mouse:  Left button up, pos=(968,646)
72.3388 	EXP 	slider_2: markerPos = 3.049382716049383
72.3669 	EXP 	slider_2: markerPos = 3.049382716049383
73.1318 	DATA 	Keypress: space
73.1347 	EXP 	slider_2: autoDraw = False
73.1347 	EXP 	text_2: autoDraw = False
73.1347 	EXP 	text_3: autoDraw = False
73.1365 	EXP 	untitled: status = STOPPED
75.0023 	EXP 	window1: mouseVisible = True
